sentiment_analysis,release_date
1.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
0.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
1.0,2009-05-14
0.0,2009-05-14
1.0,2009-05-14
2.0,2009-05-14
2.0,2009-05-14
2.0,2009-04-21
2.0,2009-04-21
2.0,2009-04-21
2.0,2009-04-21
1.0,2009-04-21
2.0,2009-04-21
2.0,
2.0,
2.0,
0.0,
2.0,
1.0,
2.0,
1.0,
2.0,
0.0,
2.0,
2.0,
0.0,
2.0,
2.0,
2.0,
2.0,
0.0,
2.0,
1.0,
1.0,
1.0,
0.0,
2.0,
0.0,
1.0,
2.0,
0.0,
2.0,
0.0,
1.0,
2.0,
2.0,
1.0,
2.0,
0.0,2013-01-16
2.0,2013-01-16
1.0,2013-01-16
1.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
0.0,2013-01-16
0.0,2013-01-16
1.0,2013-01-16
1.0,2013-01-16
1.0,2013-01-16
0.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
1.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
1.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
1.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
0.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
0.0,2013-01-16
0.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
1.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
0.0,2013-01-16
2.0,2013-01-16
1.0,2013-01-16
0.0,2013-01-16
1.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
1.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
0.0,2013-01-16
2.0,2013-01-16
1.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
0.0,2013-01-16
2.0,2013-01-16
1.0,2013-01-16
1.0,2013-01-16
1.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
2.0,2013-01-16
1.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
1.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
1.0,2013-01-16
1.0,2013-01-16
0.0,2013-01-16
0.0,2013-01-16
1.0,2013-01-16
2.0,2013-01-16
1.0,2013-01-16
0.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
1.0,2013-01-16
0.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
2.0,2013-01-16
0.0,2013-01-16
2.0,2013-01-16
2.0,2013-01-16
0.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
0.0,2013-08-08
0.0,2013-08-08
1.0,2013-08-08
0.0,2013-08-08
0.0,2013-08-08
0.0,2013-08-08
0.0,2013-08-08
1.0,2013-08-08
1.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
0.0,2013-08-08
0.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
0.0,2013-08-08
1.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
0.0,2013-08-08
2.0,2013-08-08
1.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
1.0,2013-08-08
1.0,2013-08-08
2.0,2013-08-08
1.0,2013-08-08
2.0,2013-08-08
0.0,2013-08-08
1.0,2013-08-08
1.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
0.0,2013-08-08
2.0,2013-08-08
1.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
0.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
0.0,2013-08-08
1.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
1.0,2013-08-08
0.0,2013-08-08
0.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
1.0,2013-08-08
2.0,2013-08-08
1.0,2013-08-08
2.0,2013-08-08
0.0,2013-08-08
2.0,2013-08-08
1.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
1.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
2.0,2013-08-08
2.0,
0.0,
2.0,
0.0,
2.0,
0.0,
0.0,2014-01-10
2.0,2014-01-10
1.0,2014-01-10
2.0,2014-01-10
2.0,2011-08-15
2.0,2011-08-15
2.0,2011-08-15
1.0,2011-08-15
2.0,2011-08-15
0.0,2011-08-15
2.0,2016-02-23
2.0,2016-02-23
0.0,2016-02-23
0.0,2016-02-23
0.0,2016-02-23
0.0,2016-02-23
2.0,2016-02-23
0.0,2016-02-23
2.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
1.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
1.0,2014-05-20
2.0,2014-05-20
1.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
1.0,2014-05-20
2.0,2014-05-20
1.0,2014-05-20
1.0,2014-05-20
2.0,2014-05-20
0.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
1.0,2014-05-20
2.0,2014-05-20
0.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
1.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
1.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
2.0,2014-05-20
2.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
0.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
0.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
0.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
0.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
1.0,2013-11-08
1.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
0.0,2013-11-08
2.0,2013-11-08
0.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
0.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
0.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
0.0,2013-11-08
2.0,2013-11-08
0.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
0.0,2013-11-08
1.0,2013-11-08
0.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
0.0,2013-11-08
0.0,2013-11-08
2.0,2013-11-08
0.0,2013-11-08
0.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
1.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2013-11-08
2.0,2015-07-20
2.0,2013-10-11
0.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
0.0,2013-10-11
0.0,2013-10-11
2.0,2013-10-11
1.0,2013-10-11
2.0,2013-10-11
0.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
1.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
0.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
0.0,2013-10-11
2.0,2013-10-11
1.0,2013-10-11
0.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
1.0,2013-10-11
0.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
1.0,2013-10-11
2.0,2013-10-11
0.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
0.0,2013-10-11
2.0,2013-10-11
0.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
0.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
1.0,2013-10-11
2.0,2013-10-11
2.0,2013-10-11
0.0,2012-04-24
0.0,2012-04-24
0.0,2012-04-24
0.0,2012-04-24
0.0,2012-04-24
1.0,2012-04-24
1.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
1.0,2012-04-24
0.0,2012-04-24
0.0,2012-04-24
1.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
1.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
1.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
1.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
1.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
1.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
1.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
1.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
1.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
1.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2012-04-24
0.0,2012-04-24
0.0,2012-04-24
2.0,2012-04-24
2.0,2014-06-04
0.0,2014-06-04
1.0,2014-06-04
1.0,2014-06-04
2.0,2014-06-04
0.0,2014-06-04
2.0,2014-06-04
0.0,2014-06-04
2.0,2014-06-04
1.0,2014-06-04
0.0,2014-06-04
1.0,2014-06-04
2.0,2014-06-04
2.0,2014-06-04
0.0,2014-06-04
2.0,2014-06-04
2.0,2014-06-04
2.0,2014-06-04
0.0,2014-06-04
2.0,2014-06-04
2.0,2014-06-04
0.0,2014-06-04
2.0,2014-06-04
2.0,2014-06-04
0.0,2014-06-04
0.0,2014-06-04
2.0,2014-06-04
1.0,2014-06-04
1.0,2014-06-04
0.0,2014-06-04
1.0,2014-06-04
2.0,2014-06-04
1.0,2014-06-04
2.0,2014-06-04
2.0,2014-06-04
0.0,2014-06-04
0.0,2014-06-04
1.0,2014-06-04
1.0,2014-06-04
1.0,2014-06-04
2.0,2014-06-04
2.0,2014-06-04
0.0,2014-06-04
0.0,2014-06-04
2.0,2014-06-04
0.0,2014-06-04
1.0,2014-06-04
0.0,2014-06-04
2.0,2014-06-04
2.0,2014-06-04
2.0,2012-05-31
2.0,2012-05-31
0.0,2012-05-31
1.0,2012-05-31
1.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
0.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
1.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
0.0,2012-05-31
2.0,2012-05-31
1.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
0.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
1.0,2012-05-31
0.0,2012-05-31
1.0,2012-05-31
2.0,2012-05-31
1.0,2012-05-31
1.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
0.0,2012-05-31
2.0,2012-05-31
2.0,2012-05-31
1.0,2012-05-31
2.0,2012-05-31
1.0,2012-05-31
0.0,2012-05-31
2.0,2011-05-17
2.0,2011-05-17
2.0,2011-05-17
2.0,2011-05-17
2.0,2011-05-17
0.0,2011-05-17
2.0,2011-05-17
2.0,2011-05-17
0.0,2011-05-17
2.0,2011-05-17
2.0,2011-05-17
2.0,2011-05-17
2.0,2011-05-17
0.0,2011-05-17
1.0,2011-05-17
1.0,2011-05-17
2.0,2011-05-17
0.0,2011-05-17
2.0,2011-05-17
2.0,2011-05-17
1.0,2011-05-17
2.0,2011-05-17
2.0,2011-05-17
2.0,2011-05-17
0.0,2011-05-17
1.0,2011-05-17
2.0,2011-05-17
2.0,2011-05-17
2.0,2011-05-17
2.0,2011-05-17
2.0,2011-05-17
0.0,2011-05-17
2.0,2011-05-17
1.0,2011-05-17
2.0,2011-05-17
0.0,2011-05-17
2.0,2011-05-17
2.0,2011-05-17
1.0,2011-05-17
1.0,2011-05-17
2.0,2012-02-16
0.0,2012-02-16
1.0,2012-02-16
0.0,2012-02-16
2.0,2012-02-16
2.0,2012-02-16
2.0,2012-02-16
2.0,2012-02-16
2.0,2012-02-16
2.0,2012-02-16
0.0,2012-02-16
2.0,2012-02-16
2.0,2012-02-16
0.0,2012-02-16
2.0,2012-02-16
1.0,2012-02-16
2.0,2012-02-16
2.0,2012-02-16
2.0,2012-02-16
2.0,2012-02-16
2.0,2012-02-16
2.0,2012-02-16
2.0,2012-02-16
2.0,2012-02-16
1.0,2012-02-16
2.0,2012-08-21
1.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
0.0,2012-08-21
1.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
0.0,2012-08-21
0.0,2012-08-21
1.0,2012-08-21
1.0,2012-08-21
0.0,2012-08-21
0.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
1.0,2012-08-21
1.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
0.0,2012-08-21
1.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
0.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
0.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
1.0,2012-08-21
2.0,2012-08-21
