genres,release_date,discount_price,price,item_id,developer
"['Action', 'Indie', 'RPG']",2006-07-11,0.0,9.99,2400,Outerlight Ltd.
['Strategy'],,0.0,,662570,Zachary M Thomas
"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",,0.0,,381620,Breakout Studio
"['Adventure', 'Free to Play', 'RPG', 'Early Access']",,0.0,,714020,"zha7,Phaedruns,Yingke Wu"
"['Early Access', 'Indie', 'Action', 'VR']",,0.0,,541930,
"['Action', 'Indie', 'Strategy', 'Early Access']",2017-12-29,6.79,7.99,759920,Ultraint
"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",2018-03-30,0.0,,659780,Seth Albertus
"['Action', 'Adventure', 'Indie', 'RPG']",2017-12-29,9.89,10.99,603280,TPM.CO SOFT WORKS
"['Casual', 'Strategy', 'Early Access']",2017-12-29,5.99,9.99,753110,Wonderbox Games
"['Action', 'Indie']",2017-12-29,5.99,9.99,753100,Wonderbox Games
['Education'],,0.0,29.99,769350,
"['Action', 'Adventure', 'Casual']",2017-12-30,0.0,1.99,764280,Mad Unicorn Games
"['Simulation', 'Sports', 'Casual', 'Indie', 'Golf', 'VR']",,0.0,,374970,
"['Adventure', 'Casual', 'Free to Play', 'Indie']",2017-12-29,0.0,0.99,758550,Emanon Studios
['Action'],2005-08-09,0.0,9.99,3800,GlyphX Games
"['Indie', 'Strategy']",2006-09-29,0.0,9.99,1520,Introversion Software
"['Action', 'Indie', 'RPG']",2006-11-20,0.0,9.99,2420,Outerlight Ltd.
"['Indie', 'Simulation']",2006-11-29,0.0,9.99,4000,Facepunch Studios
['Racing'],2006-11-24,0.0,39.99,4230,SimBin
"['Casual', 'Indie']",2006-12-14,0.0,0.0,4900,Unknown Worlds Entertainment
"['Casual', 'Indie']",2006-12-19,0.0,4.99,2520,"CINEMAX, s.r.o."
['Strategy'],2003-08-23,0.0,4.99,6200,Sick Puppies
['Strategy'],2006-12-21,0.0,4.99,6210,Deepred
"['Adventure', 'RPG']",2006-04-17,0.0,19.99,6300,Funcom
['Racing'],2006-08-01,0.0,9.99,2990,Bugbear Entertainment
['Racing'],2005-07-12,0.0,7.49,6220,Bugbear Entertainment
"['Action', 'Adventure']",2007-06-26,0.0,14.99,6510,"CAPCOM Co., Ltd."
['Strategy'],2006-07-24,0.0,9.99,3980,"FireFly Studios,Firaxis Games"
['RPG'],2002-11-12,0.0,4.99,1700,Arkane Studios
"['Action', 'Adventure', 'RPG']",2000-11-17,0.0,9.99,6310,Funcom
['Strategy'],2006-07-24,0.0,4.99,3990,Firaxis Games
['Strategy'],2003-10-23,0.0,9.99,7610,PopTop
['Strategy'],2006-10-16,0.0,9.99,7600,"Firaxis Games,Feral Interactive (Mac)"
['Strategy'],1998-10-31,0.0,4.99,7620,PopTop
"['Casual', 'Indie']",2007-06-01,0.0,4.99,2540,Elephant Games
['Strategy'],1995-04-01,0.0,4.99,7650,"MicroProse Software, Inc"
"['Action', 'Adventure']",2007-06-05,0.0,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)"
['Action'],2006-05-23,0.0,19.99,6550,"CAPCOM Co., Ltd."
"['Action', 'Adventure']",2006-10-17,0.0,19.99,8200,Telltale Games
['Action'],1996-06-17,0.0,4.99,2290,id Software
"['Indie', 'RPG']",2007-06-29,0.0,,2570,Freegamer
"['Action', 'Adventure']",2006-12-20,0.0,19.99,8210,Telltale Games
['Action'],1995-04-30,0.0,4.99,2280,id Software
['Action'],1995-06-01,0.0,14.99,9160,id Software
['Action'],1994-05-05,0.0,4.99,2300,id Software
['Action'],1994-08-03,0.0,4.99,2270,id Software
['Action'],2001-11-20,0.0,4.99,9010,Gray Matter Studios
['Action'],1997-02-28,0.0,2.99,9040,Ritual Entertainment
['Action'],1993-10-10,0.0,2.99,9000,id Software
['Action'],2003-09-09,0.0,9.99,3810,Terminal Reality
['Action'],2007-08-03,0.0,2.99,9030,Rogue Entertainment
['Action'],2007-05-31,0.0,4.99,2310,id Software
['Strategy'],2007-03-20,0.0,4.99,3230,Metamorf
['Strategy'],2006-01-01,0.0,12.99,9310,Relic Entertainment
"['Action', 'RPG']",2007-08-21,0.0,19.99,7670,"2K Boston,2K Australia"
['Strategy'],2006-01-01,0.0,12.99,4570,Relic Entertainment
['Strategy'],2006-10-09,0.0,12.99,4580,Relic Entertainment
['Strategy'],2004-09-22,0.0,9.99,4760,The Creative Assembly
['Strategy'],2006-06-26,0.0,4.99,4770,The Creative Assembly
['Casual'],2007-12-14,0.0,6.99,50970,Big Fish Games
['Action'],1998-06-30,0.0,,12170,Rockstar North
['Action'],1999-10-25,0.0,,12180,Rockstar North
['Action'],2004-04-20,0.0,9.99,12130,Rockstar North
['Racing'],2003-07-01,0.0,9.99,12160,Rockstar San Diego
['Action'],2003-10-14,0.0,9.99,12150,Remedy Entertainment
"['Action', 'Adventure']",2006-04-07,0.0,6.99,7000,Crystal Dynamics
['Action'],2001-07-25,0.0,9.99,12140,Remedy Entertainment
['Strategy'],2008-10-28,0.0,19.99,17480,EA Los Angeles
['Casual'],2007-10-10,0.0,9.99,12500,Infinite Interactive
"['RPG', 'Casual', 'Adventure']",2007-10-23,0.0,9.99,12310,Momentum Digital Media Technologies
['Strategy'],2007-08-01,0.0,9.99,12510,"Gamebryo,Virtual Playground"
"['Action', 'Adventure', 'Strategy']",2007-09-01,0.0,9.99,12530,SCS Software
['Racing'],2007-12-03,0.0,9.99,12520,SCS Software
['Action'],2008-02-08,0.0,5.99,8100,Pivotal Games
['Action'],2007-05-08,0.0,7.99,2780,Bohemia Interactive
['Simulation'],2006-02-21,0.0,9.99,9730,
['Action'],2006-05-02,0.0,9.99,9710,Spellbound
"['Action', 'Adventure']",2007-10-16,0.0,4.99,9800,Haggard Games
['Action'],2006-05-30,0.0,2.99,9760,Eugen Systems
"['Simulation', 'Strategy']",2006-10-26,0.0,19.99,2700,"Frontier,Aspyr (Mac)"
['Action'],2005-03-14,0.0,2.99,2710,Eugen Systems
['Action'],2003-02-03,0.0,14.99,13200,"Epic Games, Inc."
['Action'],1998-04-30,0.0,9.99,13250,"Epic Games, Inc."
"['Casual', 'Indie']",2008-03-21,0.0,4.99,13000,Sanzaru Games
['Action'],2003-02-18,0.0,9.99,13560,Ubisoft
['Action'],2004-03-23,0.0,9.99,13520,Crytek Studios
['Action'],2000-10-25,0.0,9.99,13240,"Epic Games, Inc."
['Action'],2006-12-12,0.0,9.99,13540,Ubisoft Montreal
['Simulation'],2005-03-15,0.0,9.99,15210,Ubisoft
"['Casual', 'Simulation']",2008-05-28,0.0,9.99,16180,Last Day of Work
['Casual'],2008-06-04,0.0,4.99,3520,SpinTop Games
['Casual'],2008-06-10,0.0,9.99,15970,MumboJumbo
['Casual'],2008-06-10,0.0,9.99,15950,MumboJumbo
['Casual'],2008-06-10,0.0,9.99,15960,MumboJumbo
['Casual'],2008-06-10,0.0,9.99,15900,MumboJumbo
['Casual'],2005-12-08,0.0,9.99,15910,MumboJumbo
['Casual'],2007-11-13,0.0,9.99,15930,MumboJumbo
['Simulation'],2007-11-13,0.0,9.99,15160,Ubisoft
['Casual'],2005-12-08,0.0,9.99,15920,MumboJumbo
"['Action', 'Adventure']",2007-03-27,0.0,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier"
['Simulation'],2007-03-20,0.0,9.99,15200,Ubisoft Romania
['Simulation'],2006-12-15,0.0,9.99,15320,1C: Maddox Games
['Simulation'],2008-03-24,0.0,9.99,15240,Ubisoft Romania
['Adventure'],2005-09-15,0.0,9.99,8310,Telltale Games
['Racing'],2005-07-02,0.0,9.99,12600,"Merscom,Babylon"
['Adventure'],2006-04-12,0.0,9.99,8320,Telltale Games
['Racing'],2008-07-29,0.0,9.99,12590,BigAnt Studios
['Casual'],2008-01-08,0.0,9.99,12580,Zemnott
['Simulation'],2007-07-02,0.0,9.99,12560,Gabriel Entertainment
['Casual'],2008-01-12,0.0,9.99,12570,Zemnott
['Casual'],2007-08-08,0.0,9.99,12540,Zemnott
['Adventure'],2008-05-20,0.0,9.99,11050,Frogwares
['Sports'],2008-07-08,0.0,,10520,Eurocom
"['Adventure', 'RPG']",2008-04-14,0.0,9.99,11040,Frogwares
"['Adventure', 'Indie']",2008-07-31,0.0,4.99,19500,"Luc Bernard,SilverSphereStudios"
"['Simulation', 'Strategy']",2007-05-25,0.0,7.99,11260,Lesta Studio
"['Action', 'Indie']",2008-08-21,0.0,4.99,19200,Dialogue Design
['Racing'],2008-08-19,0.0,19.99,12360,Bugbear Entertainment
['Adventure'],1998-11-17,0.0,2.99,15710,Oddworld Inhabitants
['Adventure'],1997-12-12,0.0,2.99,15700,Oddworld Inhabitants
['Racing'],2008-09-01,0.0,7.99,8660,SimBin
['Strategy'],2001-04-19,0.0,4.99,7770,"MicroProse Software, Inc"
['Strategy'],1997-07-15,0.0,4.99,7660,"MicroProse Software, Inc"
['Strategy'],1993-12-31,0.0,4.99,7760,"MicroProse Software, Inc"
"['Action', 'RPG']",2008-09-15,0.0,9.99,20510,GSC Game World
['Action'],2008-09-17,0.0,19.99,17330,Crytek
['Action'],2007-11-13,0.0,19.99,17300,Crytek
['Strategy'],1998-06-15,0.0,4.99,7730,"MicroProse Software, Inc"
"['Action', 'RPG']",2008-09-16,0.0,9.99,20900,CD PROJEKT RED
['Indie'],2008-09-19,0.0,9.99,1530,Introversion Software
['Racing'],2008-10-22,0.0,2.99,8690,SimBin
"['Strategy', 'Simulation']",2008-08-28,0.0,2.49,17120,"Tilted Mill Entertainment, Inc."
['Strategy'],2008-09-23,0.0,19.99,16810,Firaxis Games
['Action'],2003-03-18,0.0,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal"
"['Action', 'Adventure']",2008-09-29,0.0,19.99,21000,Traveller's Tales
"['Simulation', 'Strategy']",2008-07-18,0.0,9.99,4460,Monte Cristo
"['RPG', 'Strategy']",2008-09-30,0.0,9.99,17140,"Tilted Mill Entertainment, Inc."
['Action'],2008-10-08,0.0,9.99,15390,Gearbox Software
"['Indie', 'Casual']",2008-08-31,0.0,4.99,21300,Dark Castle Software
['Racing'],2006-12-01,0.0,4.99,3050,Techland
['Strategy'],2006-11-14,0.0,9.99,15380,Nival
['Action'],2005-10-04,0.0,9.99,19800,Gearbox Software
['Strategy'],2007-10-16,0.0,9.99,15370,Nival
['Strategy'],2008-04-18,0.0,19.99,19930,Blue Byte
['Casual'],2007-09-25,0.0,9.99,15350,Ubisoft
['Action'],2002-05-31,0.0,9.99,19810,Red Storm Entertainment
['Casual'],2008-10-15,0.0,4.99,3540,"PopCap Games, Inc."
['Indie'],2008-10-13,0.0,9.99,22000,2D BOY
"['Action', 'Simulation', 'Strategy']",2008-10-16,0.0,15.99,2820,Egosoft
['Action'],2008-10-17,0.0,0.0,1230,Sandstorm Productions
"['Casual', 'Indie']",2008-10-20,0.0,4.99,18300,Shorebound Studios
"['Indie', 'Casual', 'Sports']",2008-10-21,0.0,19.99,20200,Perpetual FX Creative
"['Action', 'Adventure']",2008-10-21,0.0,14.99,12200,Rockstar New England
['Action'],2008-10-22,0.0,9.99,19900,Ubisoft Montreal
"['Action', 'Indie', 'Strategy']",2008-10-23,0.0,4.99,11240,Meridian4
['Simulation'],2009-01-01,0.0,4.99,256522,RailSimulator.com
['Simulation'],2009-01-01,0.0,4.99,275144,RailSimulator.com
['Simulation'],2009-01-01,0.0,4.99,256521,RailSimulator.com
['Simulation'],2009-01-01,0.0,4.99,222569,Reppo
['Simulation'],2009-01-01,0.0,4.99,256535,RailSimulator.com
['Simulation'],2009-01-01,0.0,4.99,256611,Dovetail Games
['Simulation'],2009-01-01,0.0,4.99,256576,Dovetail Games
['Action'],2009-01-28,0.0,9.99,9480,Volition
['Action'],2008-10-20,0.0,19.99,17470,EA Redwood Shores
['RPG'],2008-12-16,0.0,9.99,12770,Liquid Entertainment
"['Action', 'Adventure']",2009-01-13,0.0,19.99,17410,DICE
"['Indie', 'Strategy']",2008-12-08,0.0,9.99,18500,Hidden Path Entertainment
['Action'],2009-02-12,0.0,14.99,16450,Monolith
"['Strategy', 'Indie']",2008-03-05,0.0,7.99,15400,Oxeye Game Studio
"['Indie', 'Strategy']",2007-07-04,0.0,9.99,18600,Inventive Dingo
"['Action', 'Indie']",2009-03-19,0.0,4.99,11340,Meridian4
['Strategy'],2005-05-10,0.0,9.99,25830,Black Sea Studios Ltd
"['Action', 'Adventure', 'Strategy']",2009-02-27,0.0,5.99,23460,Realmforge Studios
['Strategy'],2009-03-04,0.0,2.99,10600,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
['Action'],2009-03-04,0.0,4.99,21010,Deadline Games
"['Action', 'Adventure', 'Indie']",2007-03-30,0.0,9.99,22180,Frictional Games
['Action'],2007-11-19,0.0,19.99,13210,"Epic Games, Inc."
['RPG'],2009-02-27,0.0,9.99,12640,Radon Labs
"['Casual', 'Strategy']",2009-03-09,0.0,,21600,Certain Affinity™
"['Indie', 'Simulation']",2008-03-21,0.0,4.99,27020,Tale of Tales
['Racing'],2009-02-03,0.0,19.99,24740,Criterion Games
['Action'],2009-03-11,0.0,,90047,Zombie Master Team
"['Action', 'Indie']",2009-03-09,0.0,9.99,26000,Twisted Pixel Games
"['Action', 'Indie']",2009-03-16,0.0,1.25,26006,Twisted Pixel Games
"['Action', 'Indie']",2009-03-16,0.0,1.25,26005,Twisted Pixel Games
"['Casual', 'Indie']",2009-03-19,0.0,4.99,11330,IonFX
['Indie'],2009-03-19,0.0,9.99,27800,Llamasoft LTD
"['Simulation', 'Strategy']",2009-03-10,0.0,14.99,9850,"InnoGlow,Stormregion,THQ Nordic"
['Casual'],2009-04-15,0.0,4.99,3600,SpinTop Games
"['RPG', 'Massively Multiplayer']",2006-10-27,0.0,19.99,29580,ArenaNet®
"['RPG', 'Massively Multiplayer']",2005-04-28,0.0,19.99,29540,ArenaNet®
"['RPG', 'Massively Multiplayer']",2006-04-28,0.0,19.99,29560,ArenaNet®
"['Massively Multiplayer', 'RPG']",2008-09-25,0.0,29.99,29570,ArenaNet®
['Casual'],2009-04-16,0.0,14.99,23700,Infinite Interactive
['Casual'],2009-04-29,0.0,9.99,16060,MumboJumbo
['RPG'],2009-04-30,0.0,9.99,1930,Reality Pump Studios
['Strategy'],2009-04-30,0.0,9.99,18470,Spellbound
"['Action', 'Adventure', 'RPG']",2009-02-10,0.0,9.99,7510,Gaijin Entertainment
"['Action', 'Indie']",2009-04-21,0.0,9.99,22200,ACE Team
['Indie'],2009-04-29,0.0,1.25,26007,Twisted Pixel Games
"['RPG', 'Strategy']",2008-09-23,0.0,6.99,25900,1C Company
"['Casual', 'Simulation']",2009-05-06,0.0,9.99,16200,Last Day of Work
['Racing'],2009-05-06,0.0,2.99,7840,Sky Fallen
"['RPG', 'Strategy']",2005-03-08,0.0,4.99,8890,Irrational Games
"['RPG', 'Strategy']",2002-03-26,0.0,4.99,8880,Irrational Games
"['Indie', 'Simulation', 'Strategy']",2009-06-04,0.0,14.99,34500,SaintXi
"['Action', 'Simulation']",2009-06-09,0.0,0.0,1280,Darklight Games
"['Action', 'Adventure']",2009-06-10,0.0,19.99,10150,Radical Entertainment
"['Adventure', 'Indie']",,0.0,4.99,29160,Erik Svedäng
['Strategy'],2004-04-30,0.0,4.99,12470,Ascaron Entertainment ltd.
"['Horror', 'Lovecraftian', 'Survival Horror', 'First-Person', 'Based On A Novel', 'FPS', 'Adventure', 'Atmospheric', 'Stealth', 'Singleplayer', 'Story Rich', 'Action', 'Classic', 'Survival', 'Shooter', 'Difficult', 'Gore', 'Dark']",2006-04-26,0.0,4.99,22340,Headfirst Productions
['RPG'],2007-09-11,0.0,14.99,22330,Bethesda Game Studios
['RPG'],2002-04-29,0.0,14.99,22320,Bethesda Game Studios
"['Open World', 'RPG', 'Fantasy', 'Singleplayer', 'Moddable', 'First-Person', 'Exploration', 'Adventure', 'Great Soundtrack', 'Action', 'Magic', 'Sandbox', 'Character Customization', 'Atmospheric', 'Story Rich', 'Medieval', 'Action RPG', 'Classic', 'Third Person', 'Dark Fantasy']",2009-06-16,0.0,19.99,900883,Bethesda Game Studios®
['Adventure'],2007-05-18,0.0,4.99,12440,Deck 13
['Simulation'],1999-09-01,0.0,9.99,32710,NovaLogic
['Simulation'],1998-09-07,0.0,9.99,32740,NovaLogic
['Strategy'],2008-09-15,0.0,4.99,12460,Mascot Entertainment
['Action'],2009-06-30,0.0,9.99,21980,Techland
['Adventure'],2007-10-01,0.0,6.99,31860,HeR Interactive
['Adventure'],2006-10-01,0.0,6.99,31900,HeR Interactive
['Adventure'],2008-07-01,0.0,6.99,31920,HeR Interactive
['Adventure'],2007-07-01,0.0,6.99,31930,HeR Interactive
"['Casual', 'Indie']",2008-12-24,0.0,0.0,35800,Digital Eel
"['Simulation', 'Sports']",2009-07-07,0.0,9.99,12690,
['Adventure'],2009-07-07,0.0,19.99,31170,Telltale Games
['Action'],2009-07-07,0.0,19.99,21660,Capcom
"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",2007-10-09,0.0,9.99,6080,Frontier
['Adventure'],1992-06-01,0.0,5.99,6010,LucasArts
['Action'],2003-12-02,0.0,5.99,6090,Planet Moon Studios
['Action'],2005-11-01,0.0,9.99,6060,Pandemic Studios
['Adventure'],1989-07-01,0.0,5.99,32310,LucasArts
"['Action', 'Adventure']",2008-06-03,0.0,19.99,32330,Traveller's Tales
['Adventure'],2009-07-15,0.0,9.99,32360,LucasArts
['Strategy'],2008-11-20,0.0,12.99,35300,GFI Russia
"['Action', 'Racing']",2009-06-02,0.0,9.99,35310,Targem Games
['Adventure'],2009-07-21,0.0,6.99,31980,HeR Interactive
['Adventure'],2009-07-21,0.0,,31990,Her Interactive
['Sports'],2006-12-20,0.0,9.99,10140,Wanako Games
['Adventure'],2006-09-01,0.0,19.99,10100,Sierra
['Action'],2007-10-30,0.0,19.99,10130,Saber Interactive
['Adventure'],2006-09-01,0.0,19.99,10110,Sierra
['Action'],2009-07-24,0.0,7.99,1256,Tripwire Interactive
"['Action', 'Casual']",2008-06-04,0.0,9.99,10120,Artech Studios
"['Simulation', 'Strategy']",2009-07-24,0.0,6.99,33520,"PopTop Software,BreakAway Games,Frog City Software"
['Casual'],2009-07-27,0.0,4.99,3610,SpinTop Games
['Action'],2008-08-14,0.0,9.99,21680,Capcom
"['Action', 'Adventure']",2009-07-28,0.0,9.99,21670,Capcom
['Action'],2009-07-29,0.0,4.99,21030,Deadline Games
"['Action', 'Indie']",2009-08-04,0.0,4.99,36000,Sakari Indie
"['Adventure', 'RPG']",2003-11-19,0.0,9.99,32370,"BioWare,Aspyr (Mac)"
"['Indie', 'Casual']",2009-08-18,0.0,9.99,29180,Hemisphere Games
['RPG'],1998-12-01,0.0,9.99,38410,Black Isle Studios
['Strategy'],2001-03-01,0.0,9.99,38420,14° East
['Action'],1999-06-01,0.0,9.99,38430,Xatrix Entertainment
"['Strategy', 'RTS', 'Fantasy', 'Classic', 'Third Person', 'Surreal', 'Real-Time', 'RPG', 'Action', 'Singleplayer', 'Magic', 'Multiplayer']",2000-11-01,0.0,9.99,38440,Shiny Entertainment
"['Action', 'Adventure']",2009-08-19,0.0,,35050,IO Interactive
['Adventure'],2009-08-20,0.0,19.99,31180,Telltale Games
['Casual'],2009-08-24,0.0,19.99,37960,iWin
['Casual'],2009-08-24,0.0,9.99,38000,iWin
"['Adventure', 'Indie']",2009-06-22,0.0,4.99,37400,Size Five Games
['Action'],2005-03-29,0.0,9.99,13570,Ubisoft Montreal
"['Action', 'Racing']",2009-08-27,0.0,9.99,11390,
['Strategy'],2009-08-28,0.0,4.99,34420,Unicorn Games Studio
['Simulation'],2009-10-30,0.0,14.99,43100,Blue Fang
['Simulation'],2009-09-23,0.0,9.99,33730,
"['Action', 'Adventure']",2009-09-08,0.0,9.99,35000,IO Interactive
['Casual'],2009-09-23,0.0,19.99,39392,"Freeze Tag Inc.,iQ212"
['Casual'],1999-11-30,0.0,19.99,39391,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment"
"['Adventure', 'Casual', 'Indie']",2009-05-26,0.0,2.99,37600,"Vectorpark, Inc."
['Simulation'],2009-09-25,0.0,24.99,24029,All Aboard
"['Adventure', 'Casual']",2009-09-28,0.0,9.99,32140,MumboJumbo
['Adventure'],2009-09-07,0.0,19.99,31190,Telltale Games
['Action'],2009-08-18,0.0,19.99,32770,NovaLogic
['Simulation'],2009-10-01,0.0,17.99,208306,Dovetail Games
['Simulation'],2009-09-30,0.0,9.99,37300,PlayFirst
['Simulation'],2009-10-01,0.0,19.99,208300,Dovetail Games
['RPG'],2009-10-30,0.0,9.99,40300,Piranha Bytes
['Casual'],2009-10-01,0.0,3.99,35070,Honeyslug
['Strategy'],2009-10-05,0.0,9.99,10606,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
"['Adventure', 'Indie']",2009-10-16,0.0,9.99,40700,Amanita Design
['Action'],2007-09-04,0.0,9.99,24840,EA Los Angeles
['Racing'],2009-09-15,0.0,19.99,24870,Slightly Mad Studios
['RPG'],2009-10-27,0.0,14.99,41500,Runic Games
['Strategy'],2009-03-12,0.0,19.99,24800,EA Los Angeles
['Strategy'],2009-10-27,0.0,19.99,901735,FireFly Studios
['Strategy'],2009-10-27,0.0,4.99,42800,Nitro Games
['Action'],2009-10-27,0.0,9.99,39560,Homegrown Games
"['RPG', 'Strategy']",2009-10-29,0.0,14.99,39550,"Phenomic,THQ Nordic"
['Adventure'],2009-10-29,0.0,9.99,40330,Animation Arts
['Strategy'],2009-10-29,0.0,4.99,40320,Stormregion
['Adventure'],2009-10-07,0.0,19.99,31200,Telltale Games
['Strategy'],2009-11-01,0.0,4.99,3130,1C Company
"['Action', 'Indie']",2009-09-19,0.0,4.99,41100,Konstantin Koshutin
"['Action', 'RPG']",2009-11-03,0.0,9.99,39540,Phenomic
['Strategy'],2005-03-03,0.0,9.99,34640,Wargaming.net
['Strategy'],2003-10-28,0.0,9.99,34630,Wargaming.net
"['Hidden Object', 'Female Protagonist', 'Puzzle']",2009-11-19,0.0,6.99,42200,HeR Interactive
"['Action', 'Indie']",2009-11-24,0.0,14.99,41000,Croteam
['Adventure'],2009-10-29,0.0,9.99,40340,Animation Arts
['RPG'],2009-11-06,0.0,19.99,17450,BioWare
"['Action', 'RPG', 'Indie']",2009-05-07,0.0,4.99,37100,Citeremis Inc.
"['Indie', 'Casual']",2009-11-05,0.0,1.99,37500,Yullaby
['Strategy'],2009-11-11,0.0,9.99,42810,Crystal Empire Games
['Action'],2009-11-12,0.0,19.99,10180,"Infinity Ward,Aspyr (Mac)"
['Adventure'],2009-11-12,0.0,19.99,32440,"Traveller's Tales,Feral Interactive (Mac)"
['RPG'],2007-06-26,0.0,4.99,11450,"Triumph Studios,Virtual Programming"
['RPG'],2008-02-15,0.0,9.99,12710,"Triumph Studios,Virtual Programming"
['Strategy'],2007-03-28,0.0,14.99,24790,EA Los Angeles
"['Indie', 'Casual']",2008-07-23,0.0,4.99,29120,KranX Productions
['Strategy'],2009-11-13,0.0,19.99,24810,EA Los Angeles
"['Indie', 'Simulation', 'Strategy']",2009-11-16,0.0,14.99,41800,Positech Games
['Simulation'],2009-12-25,0.0,9.99,45300,Gaijin Entertainment
"['Action', 'Adventure', 'RPG']",2005-06-17,0.0,9.99,41900,inXile Entertainment
['Action'],2009-10-22,0.0,0.0,35420,Defence Alliance Team
['Action'],2009-11-03,0.0,19.99,32430,"LucasArts,Aspyr Studios"
,2009-12-15,0.0,9.99,25806,Paradox Interactive
['RPG'],2009-10-13,0.0,19.99,22370,Bethesda Game Studios
"['Strategy', 'Indie', 'Simulation']",2009-12-16,0.0,5.99,41802,Positech Games
['Simulation'],2007-10-02,0.0,9.99,38080,Hip Soft
['Simulation'],2008-04-29,0.0,9.99,38090,Hip Soft
['Simulation'],2009-01-24,0.0,9.99,38100,Hip Soft
"['Casual', 'Simulation']",2009-12-17,0.0,9.99,38070,iWin
