release_date,discount_price,price,item_id,developer
2006-11-29,0.0,9.99,4000,Facepunch Studios
2006-11-24,0.0,39.99,4230,SimBin
2006-12-14,0.0,0.0,4900,Unknown Worlds Entertainment
2006-12-19,0.0,4.99,2520,"CINEMAX, s.r.o."
2003-08-23,0.0,4.99,6200,Sick Puppies
2006-12-21,0.0,4.99,6210,Deepred
2006-04-17,0.0,19.99,6300,Funcom
2006-08-01,0.0,9.99,2990,Bugbear Entertainment
2005-07-12,0.0,7.49,6220,Bugbear Entertainment
2007-06-26,0.0,14.99,6510,"CAPCOM Co., Ltd."
2006-07-24,0.0,9.99,3980,"FireFly Studios,Firaxis Games"
2002-11-12,0.0,4.99,1700,Arkane Studios
2000-11-17,0.0,9.99,6310,Funcom
2006-07-24,0.0,4.99,3990,Firaxis Games
2003-10-23,0.0,9.99,7610,PopTop
2006-10-16,0.0,9.99,7600,"Firaxis Games,Feral Interactive (Mac)"
1998-10-31,0.0,4.99,7620,PopTop
2007-06-01,0.0,4.99,2540,Elephant Games
1995-04-01,0.0,4.99,7650,"MicroProse Software, Inc"
2007-06-05,0.0,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)"
2006-05-23,0.0,19.99,6550,"CAPCOM Co., Ltd."
2006-10-17,0.0,19.99,8200,Telltale Games
1996-06-17,0.0,4.99,2290,id Software
2007-06-29,0.0,,2570,Freegamer
2006-12-20,0.0,19.99,8210,Telltale Games
1995-04-30,0.0,4.99,2280,id Software
1995-06-01,0.0,14.99,9160,id Software
1994-05-05,0.0,4.99,2300,id Software
1994-08-03,0.0,4.99,2270,id Software
2001-11-20,0.0,4.99,9010,Gray Matter Studios
1997-02-28,0.0,2.99,9040,Ritual Entertainment
1993-10-10,0.0,2.99,9000,id Software
2003-09-09,0.0,9.99,3810,Terminal Reality
2007-08-03,0.0,2.99,9030,Rogue Entertainment
2007-05-31,0.0,4.99,2310,id Software
2007-03-20,0.0,4.99,3230,Metamorf
2006-01-01,0.0,12.99,9310,Relic Entertainment
2007-08-21,0.0,19.99,7670,"2K Boston,2K Australia"
2006-01-01,0.0,12.99,4570,Relic Entertainment
2006-10-09,0.0,12.99,4580,Relic Entertainment
2004-09-22,0.0,9.99,4760,The Creative Assembly
2006-06-26,0.0,4.99,4770,The Creative Assembly
2007-12-14,0.0,6.99,50970,Big Fish Games
1998-06-30,0.0,,12170,Rockstar North
1999-10-25,0.0,,12180,Rockstar North
2004-04-20,0.0,9.99,12130,Rockstar North
2003-07-01,0.0,9.99,12160,Rockstar San Diego
2003-10-14,0.0,9.99,12150,Remedy Entertainment
2006-04-07,0.0,6.99,7000,Crystal Dynamics
2001-07-25,0.0,9.99,12140,Remedy Entertainment
2008-10-28,0.0,19.99,17480,EA Los Angeles
2007-10-10,0.0,9.99,12500,Infinite Interactive
2007-10-23,0.0,9.99,12310,Momentum Digital Media Technologies
2007-08-01,0.0,9.99,12510,"Gamebryo,Virtual Playground"
2007-09-01,0.0,9.99,12530,SCS Software
2007-12-03,0.0,9.99,12520,SCS Software
2008-02-08,0.0,5.99,8100,Pivotal Games
2007-05-08,0.0,7.99,2780,Bohemia Interactive
2006-02-21,0.0,9.99,9730,
2006-05-02,0.0,9.99,9710,Spellbound
2007-10-16,0.0,4.99,9800,Haggard Games
2006-05-30,0.0,2.99,9760,Eugen Systems
2006-10-26,0.0,19.99,2700,"Frontier,Aspyr (Mac)"
2005-03-14,0.0,2.99,2710,Eugen Systems
2003-02-03,0.0,14.99,13200,"Epic Games, Inc."
1998-04-30,0.0,9.99,13250,"Epic Games, Inc."
2008-03-21,0.0,4.99,13000,Sanzaru Games
2003-02-18,0.0,9.99,13560,Ubisoft
2004-03-23,0.0,9.99,13520,Crytek Studios
2000-10-25,0.0,9.99,13240,"Epic Games, Inc."
2006-12-12,0.0,9.99,13540,Ubisoft Montreal
2005-03-15,0.0,9.99,15210,Ubisoft
2008-05-28,0.0,9.99,16180,Last Day of Work
2008-06-04,0.0,4.99,3520,SpinTop Games
2008-06-10,0.0,9.99,15970,MumboJumbo
2008-06-10,0.0,9.99,15950,MumboJumbo
2008-06-10,0.0,9.99,15960,MumboJumbo
2008-06-10,0.0,9.99,15900,MumboJumbo
2005-12-08,0.0,9.99,15910,MumboJumbo
2007-11-13,0.0,9.99,15930,MumboJumbo
2007-11-13,0.0,9.99,15160,Ubisoft
2005-12-08,0.0,9.99,15920,MumboJumbo
2007-03-27,0.0,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier"
2007-03-20,0.0,9.99,15200,Ubisoft Romania
2006-12-15,0.0,9.99,15320,1C: Maddox Games
2008-03-24,0.0,9.99,15240,Ubisoft Romania
2005-09-15,0.0,9.99,8310,Telltale Games
2005-07-02,0.0,9.99,12600,"Merscom,Babylon"
2006-04-12,0.0,9.99,8320,Telltale Games
2008-07-29,0.0,9.99,12590,BigAnt Studios
2008-01-08,0.0,9.99,12580,Zemnott
2007-07-02,0.0,9.99,12560,Gabriel Entertainment
2008-01-12,0.0,9.99,12570,Zemnott
2007-08-08,0.0,9.99,12540,Zemnott
2008-05-20,0.0,9.99,11050,Frogwares
2008-07-08,0.0,,10520,Eurocom
2008-04-14,0.0,9.99,11040,Frogwares
2008-07-31,0.0,4.99,19500,"Luc Bernard,SilverSphereStudios"
2007-05-25,0.0,7.99,11260,Lesta Studio
2008-08-21,0.0,4.99,19200,Dialogue Design
2008-08-19,0.0,19.99,12360,Bugbear Entertainment
1998-11-17,0.0,2.99,15710,Oddworld Inhabitants
1997-12-12,0.0,2.99,15700,Oddworld Inhabitants
2008-09-01,0.0,7.99,8660,SimBin
2001-04-19,0.0,4.99,7770,"MicroProse Software, Inc"
1997-07-15,0.0,4.99,7660,"MicroProse Software, Inc"
1993-12-31,0.0,4.99,7760,"MicroProse Software, Inc"
2008-09-15,0.0,9.99,20510,GSC Game World
2008-09-17,0.0,19.99,17330,Crytek
2007-11-13,0.0,19.99,17300,Crytek
1998-06-15,0.0,4.99,7730,"MicroProse Software, Inc"
2008-09-16,0.0,9.99,20900,CD PROJEKT RED
2008-09-19,0.0,9.99,1530,Introversion Software
2008-10-22,0.0,2.99,8690,SimBin
2008-08-28,0.0,2.49,17120,"Tilted Mill Entertainment, Inc."
2008-09-23,0.0,19.99,16810,Firaxis Games
2003-03-18,0.0,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal"
2008-09-29,0.0,19.99,21000,Traveller's Tales
2008-07-18,0.0,9.99,4460,Monte Cristo
2008-09-30,0.0,9.99,17140,"Tilted Mill Entertainment, Inc."
2008-10-08,0.0,9.99,15390,Gearbox Software
2008-08-31,0.0,4.99,21300,Dark Castle Software
2006-12-01,0.0,4.99,3050,Techland
2006-11-14,0.0,9.99,15380,Nival
2005-10-04,0.0,9.99,19800,Gearbox Software
2007-10-16,0.0,9.99,15370,Nival
2008-04-18,0.0,19.99,19930,Blue Byte
2007-09-25,0.0,9.99,15350,Ubisoft
2002-05-31,0.0,9.99,19810,Red Storm Entertainment
2008-10-15,0.0,4.99,3540,"PopCap Games, Inc."
2008-10-13,0.0,9.99,22000,2D BOY
2008-10-16,0.0,15.99,2820,Egosoft
2008-10-17,0.0,0.0,1230,Sandstorm Productions
2008-10-20,0.0,4.99,18300,Shorebound Studios
2008-10-21,0.0,19.99,20200,Perpetual FX Creative
2008-10-21,0.0,14.99,12200,Rockstar New England
2008-10-22,0.0,9.99,19900,Ubisoft Montreal
2008-10-23,0.0,4.99,11240,Meridian4
2009-01-01,0.0,4.99,256522,RailSimulator.com
2009-01-01,0.0,4.99,275144,RailSimulator.com
2009-01-01,0.0,4.99,256521,RailSimulator.com
2009-01-01,0.0,4.99,222569,Reppo
2009-01-01,0.0,4.99,256535,RailSimulator.com
2009-01-01,0.0,4.99,256611,Dovetail Games
2009-01-01,0.0,4.99,256576,Dovetail Games
2009-01-28,0.0,9.99,9480,Volition
2008-10-20,0.0,19.99,17470,EA Redwood Shores
2008-12-16,0.0,9.99,12770,Liquid Entertainment
2009-01-13,0.0,19.99,17410,DICE
2008-12-08,0.0,9.99,18500,Hidden Path Entertainment
2009-02-12,0.0,14.99,16450,Monolith
2008-03-05,0.0,7.99,15400,Oxeye Game Studio
2007-07-04,0.0,9.99,18600,Inventive Dingo
2009-03-19,0.0,4.99,11340,Meridian4
2005-05-10,0.0,9.99,25830,Black Sea Studios Ltd
2009-02-27,0.0,5.99,23460,Realmforge Studios
2009-03-04,0.0,2.99,10600,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
2009-03-04,0.0,4.99,21010,Deadline Games
2007-03-30,0.0,9.99,22180,Frictional Games
2007-11-19,0.0,19.99,13210,"Epic Games, Inc."
2009-02-27,0.0,9.99,12640,Radon Labs
2009-03-09,0.0,,21600,Certain Affinity™
2008-03-21,0.0,4.99,27020,Tale of Tales
2009-02-03,0.0,19.99,24740,Criterion Games
2009-03-11,0.0,,90047,Zombie Master Team
2009-03-09,0.0,9.99,26000,Twisted Pixel Games
2009-03-16,0.0,1.25,26006,Twisted Pixel Games
2009-03-16,0.0,1.25,26005,Twisted Pixel Games
2009-03-19,0.0,4.99,11330,IonFX
2009-03-19,0.0,9.99,27800,Llamasoft LTD
2009-03-10,0.0,14.99,9850,"InnoGlow,Stormregion,THQ Nordic"
2009-04-15,0.0,4.99,3600,SpinTop Games
2006-10-27,0.0,19.99,29580,ArenaNet®
2005-04-28,0.0,19.99,29540,ArenaNet®
2006-04-28,0.0,19.99,29560,ArenaNet®
2008-09-25,0.0,29.99,29570,ArenaNet®
2009-04-16,0.0,14.99,23700,Infinite Interactive
2009-04-29,0.0,9.99,16060,MumboJumbo
2009-04-30,0.0,9.99,1930,Reality Pump Studios
2009-04-30,0.0,9.99,18470,Spellbound
2009-02-10,0.0,9.99,7510,Gaijin Entertainment
2009-04-21,0.0,9.99,22200,ACE Team
2009-04-29,0.0,1.25,26007,Twisted Pixel Games
2008-09-23,0.0,6.99,25900,1C Company
2009-05-06,0.0,9.99,16200,Last Day of Work
2009-05-06,0.0,2.99,7840,Sky Fallen
2005-03-08,0.0,4.99,8890,Irrational Games
2002-03-26,0.0,4.99,8880,Irrational Games
2009-06-04,0.0,14.99,34500,SaintXi
2009-06-09,0.0,0.0,1280,Darklight Games
2009-06-10,0.0,19.99,10150,Radical Entertainment
,0.0,4.99,29160,Erik Svedäng
2004-04-30,0.0,4.99,12470,Ascaron Entertainment ltd.
2006-04-26,0.0,4.99,22340,Headfirst Productions
2007-09-11,0.0,14.99,22330,Bethesda Game Studios
2002-04-29,0.0,14.99,22320,Bethesda Game Studios
2009-06-16,0.0,19.99,900883,Bethesda Game Studios®
2007-05-18,0.0,4.99,12440,Deck 13
1999-09-01,0.0,9.99,32710,NovaLogic
1998-09-07,0.0,9.99,32740,NovaLogic
2008-09-15,0.0,4.99,12460,Mascot Entertainment
2009-06-30,0.0,9.99,21980,Techland
2007-10-01,0.0,6.99,31860,HeR Interactive
2006-10-01,0.0,6.99,31900,HeR Interactive
2008-07-01,0.0,6.99,31920,HeR Interactive
2007-07-01,0.0,6.99,31930,HeR Interactive
2008-12-24,0.0,0.0,35800,Digital Eel
2009-07-07,0.0,9.99,12690,
2009-07-07,0.0,19.99,31170,Telltale Games
2009-07-07,0.0,19.99,21660,Capcom
2007-10-09,0.0,9.99,6080,Frontier
1992-06-01,0.0,5.99,6010,LucasArts
2003-12-02,0.0,5.99,6090,Planet Moon Studios
2005-11-01,0.0,9.99,6060,Pandemic Studios
1989-07-01,0.0,5.99,32310,LucasArts
2008-06-03,0.0,19.99,32330,Traveller's Tales
2009-07-15,0.0,9.99,32360,LucasArts
2008-11-20,0.0,12.99,35300,GFI Russia
2009-06-02,0.0,9.99,35310,Targem Games
2009-07-21,0.0,6.99,31980,HeR Interactive
2009-07-21,0.0,,31990,Her Interactive
2006-12-20,0.0,9.99,10140,Wanako Games
2006-09-01,0.0,19.99,10100,Sierra
2007-10-30,0.0,19.99,10130,Saber Interactive
2006-09-01,0.0,19.99,10110,Sierra
2009-07-24,0.0,7.99,1256,Tripwire Interactive
2008-06-04,0.0,9.99,10120,Artech Studios
2009-07-24,0.0,6.99,33520,"PopTop Software,BreakAway Games,Frog City Software"
2009-07-27,0.0,4.99,3610,SpinTop Games
2008-08-14,0.0,9.99,21680,Capcom
2009-07-28,0.0,9.99,21670,Capcom
2009-07-29,0.0,4.99,21030,Deadline Games
2009-08-04,0.0,4.99,36000,Sakari Indie
2003-11-19,0.0,9.99,32370,"BioWare,Aspyr (Mac)"
2009-08-18,0.0,9.99,29180,Hemisphere Games
1998-12-01,0.0,9.99,38410,Black Isle Studios
2001-03-01,0.0,9.99,38420,14° East
1999-06-01,0.0,9.99,38430,Xatrix Entertainment
2000-11-01,0.0,9.99,38440,Shiny Entertainment
2009-08-19,0.0,,35050,IO Interactive
2009-08-20,0.0,19.99,31180,Telltale Games
2009-08-24,0.0,19.99,37960,iWin
2009-08-24,0.0,9.99,38000,iWin
2009-06-22,0.0,4.99,37400,Size Five Games
2005-03-29,0.0,9.99,13570,Ubisoft Montreal
2009-08-27,0.0,9.99,11390,
2009-08-28,0.0,4.99,34420,Unicorn Games Studio
2009-10-30,0.0,14.99,43100,Blue Fang
2009-09-23,0.0,9.99,33730,
2009-09-08,0.0,9.99,35000,IO Interactive
2009-09-23,0.0,19.99,39392,"Freeze Tag Inc.,iQ212"
1999-11-30,0.0,19.99,39391,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment"
2009-05-26,0.0,2.99,37600,"Vectorpark, Inc."
2009-09-25,0.0,24.99,24029,All Aboard
2009-09-28,0.0,9.99,32140,MumboJumbo
2009-09-07,0.0,19.99,31190,Telltale Games
2009-08-18,0.0,19.99,32770,NovaLogic
2009-10-01,0.0,17.99,208306,Dovetail Games
2009-09-30,0.0,9.99,37300,PlayFirst
2009-10-01,0.0,19.99,208300,Dovetail Games
2009-10-30,0.0,9.99,40300,Piranha Bytes
2009-10-01,0.0,3.99,35070,Honeyslug
2009-10-05,0.0,9.99,10606,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
2009-10-16,0.0,9.99,40700,Amanita Design
2007-09-04,0.0,9.99,24840,EA Los Angeles
2009-09-15,0.0,19.99,24870,Slightly Mad Studios
2009-10-27,0.0,14.99,41500,Runic Games
2009-03-12,0.0,19.99,24800,EA Los Angeles
2009-10-27,0.0,19.99,901735,FireFly Studios
2009-10-27,0.0,4.99,42800,Nitro Games
2009-10-27,0.0,9.99,39560,Homegrown Games
2009-10-29,0.0,14.99,39550,"Phenomic,THQ Nordic"
2009-10-29,0.0,9.99,40330,Animation Arts
2009-10-29,0.0,4.99,40320,Stormregion
2009-10-07,0.0,19.99,31200,Telltale Games
2009-11-01,0.0,4.99,3130,1C Company
2009-09-19,0.0,4.99,41100,Konstantin Koshutin
2009-11-03,0.0,9.99,39540,Phenomic
2005-03-03,0.0,9.99,34640,Wargaming.net
2003-10-28,0.0,9.99,34630,Wargaming.net
2009-11-19,0.0,6.99,42200,HeR Interactive
2009-11-24,0.0,14.99,41000,Croteam
2009-10-29,0.0,9.99,40340,Animation Arts
2009-11-06,0.0,19.99,17450,BioWare
2009-05-07,0.0,4.99,37100,Citeremis Inc.
2009-11-05,0.0,1.99,37500,Yullaby
2009-11-11,0.0,9.99,42810,Crystal Empire Games
2009-11-12,0.0,19.99,10180,"Infinity Ward,Aspyr (Mac)"
2009-11-12,0.0,19.99,32440,"Traveller's Tales,Feral Interactive (Mac)"
2007-06-26,0.0,4.99,11450,"Triumph Studios,Virtual Programming"
2008-02-15,0.0,9.99,12710,"Triumph Studios,Virtual Programming"
2007-03-28,0.0,14.99,24790,EA Los Angeles
2008-07-23,0.0,4.99,29120,KranX Productions
2009-11-13,0.0,19.99,24810,EA Los Angeles
2009-11-16,0.0,14.99,41800,Positech Games
2009-12-25,0.0,9.99,45300,Gaijin Entertainment
2005-06-17,0.0,9.99,41900,inXile Entertainment
2009-10-22,0.0,0.0,35420,Defence Alliance Team
2009-11-03,0.0,19.99,32430,"LucasArts,Aspyr Studios"
2009-12-15,0.0,9.99,25806,Paradox Interactive
2009-10-13,0.0,19.99,22370,Bethesda Game Studios
2009-12-16,0.0,5.99,41802,Positech Games
2007-10-02,0.0,9.99,38080,Hip Soft
2008-04-29,0.0,9.99,38090,Hip Soft
2009-01-24,0.0,9.99,38100,Hip Soft
2009-12-17,0.0,9.99,38070,iWin
2009-12-17,0.0,1.99,38210,Spidermonk Entertainment
2008-07-08,0.0,19.99,45700,Capcom
2010-03-17,0.0,9.99,46410,ClockStone Studios
2009-08-12,0.0,9.99,38110,Hip Soft
2010-02-12,0.0,0.0,17570,Octoshark Studios
2008-08-27,0.0,4.99,38130,Alawar
2010-01-06,0.0,9.99,38160,Alawar
2009-09-11,0.0,9.99,38150,Alawar
2007-12-07,0.0,4.99,38120,Alawar
2009-02-18,0.0,4.99,38140,Alawar
2010-02-16,0.0,6.99,36300,Sandlot Games
2010-02-16,0.0,6.99,36310,Sandlot Games
2010-02-16,0.0,6.99,36320,Cateia Games
2010-02-17,0.0,9.99,37030,Chaos Concept
2010-02-18,0.0,19.99,32450,Traveller's Tales
2010-02-18,0.0,,34180,Eurocom
2010-02-18,0.0,4.99,44100,New Star Games Ltd
2010-02-18,0.0,0.99,25960,Paradox Interactive
2010-02-19,0.0,6.99,46250,The Farm 51
2007-12-01,0.0,9.99,38180,Awem Studio
2010-03-18,0.0,7.49,10695,Rebellion
2001-03-21,0.0,9.99,41050,Croteam
2010-03-19,0.0,19.99,24055,All Aboard
2010-03-31,0.0,19.99,48700,TaleWorlds Entertainment
2010-03-26,0.0,4.99,39900,ZoopTEK
2010-04-05,0.0,4.99,49900,Beatnik Games
2010-04-08,0.0,9.99,42120,Fatshark
2010-04-12,0.0,19.99,12220,Rockstar North / Toronto
2010-04-12,0.0,4.99,45730,Other Ocean Interactive
2010-04-14,0.0,0.99,45400,Nemesys Games
2010-04-15,0.0,9.99,49600,Cold Beam Games
2010-04-15,0.0,19.99,901399,Telltale Games
2010-04-19,0.0,9.99,43500,Realmforge Studios
2010-04-19,0.0,4.99,45302,Gaijin Entertainment
2010-04-20,0.0,4.99,40930,The Odd Gentlemen
2003-08-19,0.0,4.99,39640,THQ Nordic
2001-11-30,0.0,4.99,39630,THQ Nordic
2010-04-20,0.0,1.99,23150,Red Chain Games Ltd.
2006-07-19,0.0,9.99,50940,Big Fish Games
2008-06-19,0.0,9.99,50920,Big Fish Games
2010-05-05,0.0,2.99,34178,"The Creative Assembly,Feral Interactive (Mac)"
2008-12-31,0.0,6.99,37340,Sarbakan
2009-09-24,0.0,6.99,37390,PlayFirst
2009-07-27,0.0,6.99,37310,Absolutist Ltd.
2007-10-19,0.0,6.99,37360,PlayFirst
2009-12-24,0.0,6.99,49000,PlayFirst
2010-03-19,0.0,6.99,37330,PlayFirst
2008-02-11,0.0,6.99,37320,PlayFirst
2007-12-31,0.0,6.99,37370,PlayFirst
2009-12-21,0.0,6.99,37380,PlayFirst
2010-05-07,0.0,9.99,19080,G5 Entertainment
2008-12-05,0.0,,31700,ISOTX
2010-05-11,0.0,14.99,19030,Climax Studios
2010-05-12,0.0,,50820,Press Play
2010-05-12,0.0,4.99,49800,Muse Games
2010-05-28,0.0,4.99,33650,Ideas Pad
2010-06-08,0.0,19.99,901478,Ubisoft
2010-05-28,0.0,4.99,33660,Kokakiki
2010-06-01,0.0,2.99,34281,SEGA
2010-06-01,0.0,2.99,34272,SEGA
2010-06-01,0.0,61.99,34270,D3T Limited
2010-06-01,0.0,2.99,34276,SEGA
2010-06-01,0.0,2.99,34274,SEGA
2010-06-01,0.0,2.99,34275,SEGA
2010-06-01,0.0,2.99,34277,SEGA
2010-06-01,0.0,2.99,34273,SEGA
2010-06-01,0.0,2.99,34280,SEGA
2010-06-01,0.0,4.99,34278,SEGA
2010-06-01,0.0,2.99,34282,SEGA
2010-06-01,0.0,2.99,34279,SEGA
2010-06-01,0.0,14.99,34010,Obsidian Entertainment
2010-06-03,0.0,9.99,22610,Team17 Software Ltd.
2010-07-16,0.0,4.99,22440,Bethesda Game Studios
2010-06-02,0.0,0.99,18508,Hidden Path Entertainment
2010-07-16,0.0,4.99,22430,Bethesda Game Studios
2010-07-16,0.0,4.99,22410,Bethesda Game Studios
2010-07-16,0.0,4.99,22420,Bethesda Game Studios
2010-07-19,0.0,0.0,630,Valve
2010-07-16,0.0,4.99,22400,Bethesda Game Studios
2003-09-22,0.0,19.99,24780,"EA - Maxis,Aspyr (Mac)"
2010-07-16,0.0,14.99,33670,"Akella,.dat"
2010-07-16,0.0,4.99,40420,"Arcen Games, LLC"
2010-07-19,0.0,9.99,34920,Invent4 Entertainment
2010-07-21,0.0,3.99,48136,Blue Byte
2008-12-08,0.0,9.99,46720,Dagger Games
2010-08-17,0.0,9.99,28000,IO Interactive
2010-07-28,0.0,9.99,39680,Rune Forge
2010-07-26,0.0,0.99,25962,Paradox Interactive
2010-08-06,0.0,19.99,24634,N3V Games
2010-08-06,0.0,4.99,63900,Ino-Co
2011-03-22,0.0,29.99,50130,"2K Czech,Feral Interactive (Mac)"
2010-08-06,0.0,4.99,24075,Dovetail Games
2010-08-12,0.0,9.99,47540,Infinite Interactive
2010-08-12,0.0,9.99,50510,doublesix
2010-08-16,0.0,1.99,25760,Playbrains
2010-08-16,0.0,1.99,25763,Playbrains
2010-08-16,0.0,1.99,25762,Playbrains
2010-08-16,0.0,2.99,25764,Playbrains
2010-08-20,0.0,9.99,42980,Paradox Development Studio
2010-08-27,0.0,19.99,48800,VStep
2010-08-26,0.0,19.99,22600,Team17 Digital Ltd
2010-06-22,0.0,14.99,46770,Muzzy Lane Software
2010-08-27,0.0,8.99,65700,Bohemia Interactive
2010-08-30,0.0,19.99,42960,Paradox Development Studio
2010-08-31,0.0,,27930,DnS Development
2010-08-16,0.0,1.99,25761,Playbrains
2010-08-31,0.0,5.99,28010,IO Interactive
2010-08-31,0.0,1.99,28012,IO Interactive
2010-09-01,0.0,19.99,24640,N3V Games
2010-08-31,0.0,2.99,28011,IO Interactive
2002-11-01,0.0,4.99,4850,GSC Game World
2010-09-02,0.0,5.99,57640,Revolution Software Ltd
2010-09-06,0.0,4.99,62100,Zoë Mode
2010-09-06,0.0,9.99,50145,"2K Czech,Feral Interactive (Mac)"
2010-09-08,0.0,1.99,34841,City Interactive
2010-09-07,0.0,4.99,70300,Terry Cavanagh
2010-09-08,0.0,3.99,48137,Blue Byte
2010-09-08,0.0,19.99,57300,Frictional Games
2010-09-10,0.0,19.99,70400,EasyGameStation
2010-08-19,0.0,3.99,46600,Dedication Games
2010-09-13,0.0,2.99,34314,SEGA
2010-09-13,0.0,2.99,34310,SEGA
2010-09-14,0.0,4.99,70100,exosyphen studios
2010-09-14,0.0,4.99,70110,exosyphen studios
2010-09-17,0.0,9.99,38600,Subsoap
2010-09-17,0.0,14.99,57620,Gaming Minds Studios
2010-09-13,0.0,2.99,34284,SEGA
2010-09-17,0.0,14.99,63910,Katauri Interactive
2010-09-17,0.0,4.99,24082,Dovetail Games
2010-09-21,0.0,29.99,8930,"Firaxis Games,Aspyr (Mac, Linux)"
2010-09-21,0.0,4.99,49310,Nitro Games
2002-02-05,0.0,9.99,41060,Croteam
2010-09-20,0.0,9.99,70900,Blind Mind Studios
2010-09-22,0.0,2.99,9940,Krome Studios
2010-09-22,0.0,9.99,22650,Team17 Digital Ltd
2010-09-23,0.0,,901553,Croteam
2010-09-23,0.0,19.99,50620,Vigil Games
1999-07-01,0.0,4.99,2840,Egosoft
2010-10-08,0.0,9.99,42920,NeoCoreGames
2007-08-31,0.0,19.99,29700,ArenaNet®
2000-06-01,0.0,4.99,2850,Egosoft
,0.0,9.99,61510,Triumph Studios
2010-10-11,0.0,7.99,70200,I Sioux Game Productions B.V.
2010-10-11,0.0,14.99,70210,I Sioux Game Productions B.V.
,0.0,9.99,61520,Triumph Studios
,0.0,5.99,61500,Triumph Studios
2010-10-12,0.0,19.99,47790,Electronic Arts
2010-10-15,0.0,9.99,46450,"Headup Games,Silent Dreams"
2010-10-15,0.0,19.99,45750,"CAPCOM CO., LTD."
2010-10-15,0.0,4.99,57800,Stickmen Studios
2010-10-19,0.0,9.99,22380,Obsidian Entertainment
2010-10-15,0.0,6.99,67000,Dmytry Lavrov
2010-10-22,0.0,4.99,80300,Ivy Games
2010-10-25,0.0,9.99,50000,Noumenon Games
2010-10-25,0.0,4.99,16868,"Firaxis Games,Aspyr (Mac, Linux)"
2010-10-25,0.0,14.99,18040,Hothead Games
2010-10-26,0.0,2.99,71115,SEGA
2010-10-26,0.0,2.99,34317,SEGA
2010-10-26,0.0,2.99,71114,SEGA
2010-10-26,0.0,2.99,71112,SEGA
2010-10-26,0.0,4.99,71113,SEGA
2010-10-26,0.0,2.99,71111,SEGA
2010-10-26,0.0,2.99,71110,SEGA
2010-10-26,0.0,2.99,34319,SEGA
2010-10-26,0.0,2.99,34318,SEGA
2010-10-26,0.0,2.99,34316,SEGA
